   2.6180e+02   1.3820e+02   3.6180e+02   3.8197e+01   3.1756e+02   8.2443e+01   3.9021e+02   9.7887e+00   2.0000e+02

   4.2533e-01   4.2533e-01   2.6287e-01   2.6287e-01  -3.6180e-01  -3.6180e-01   1.3820e-01   1.3820e-01   4.4721e-01
  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01  -3.2440e-16
  -2.6287e-01  -2.6287e-01   4.2533e-01   4.2533e-01  -1.3820e-01  -1.3820e-01   3.6180e-01   3.6180e-01  -4.4721e-01
   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01   5.8972e-16
  -1.5163e-15   2.9295e-16   8.2488e-16  -1.0211e-16   4.4721e-01   4.4721e-01   4.4721e-01   4.4721e-01   4.4721e-01
  -4.2533e-01   4.2533e-01   2.6287e-01  -2.6287e-01  -2.6287e-01   2.6287e-01  -4.2533e-01   4.2533e-01  -1.0147e-15
   2.6287e-01   2.6287e-01  -4.2533e-01  -4.2533e-01  -1.3820e-01  -1.3820e-01   3.6180e-01   3.6180e-01  -4.4721e-01
   2.6287e-01  -2.6287e-01   4.2533e-01  -4.2533e-01   4.2533e-01  -4.2533e-01  -2.6287e-01   2.6287e-01   7.8710e-16
  -4.2533e-01  -4.2533e-01  -2.6287e-01  -2.6287e-01  -3.6180e-01  -3.6180e-01   1.3820e-01   1.3820e-01   4.4721e-01
